County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Percent adults fully vaccinated against COVID-19 (as of 6/10/21)
Oconee County Georgia,GEORGIA,15.03%,21.5%,9.53%,24.1%
Seminole County Georgia,GEORGIA,17.84%,26.45%,11.48%,5.2%
Heard County Georgia,GEORGIA,16.96%,24.96%,10.76%,7.7%
Franklin County Idaho,IDAHO,20.22%,27.27%,13.15%,37.4%
Liberty County Georgia,GEORGIA,16.45%,25.08%,10.16%,37.4%
Talbot County Georgia,GEORGIA,15.56%,23.29%,9.91%,21.8%
Owyhee County Idaho,IDAHO,19.19%,25.92%,12.35%,27.1%
Mitchell County Georgia,GEORGIA,17.84%,26.45%,11.48%,10.2%
Wilkes County Georgia,GEORGIA,16.23%,24.62%,10.43%,10.6%
Upson County Georgia,GEORGIA,16.83%,24.48%,10.72%,32.2%
Kalawao County Hawaii,HAWAII,6.1%,9.79%,3.26%,
Marion County Georgia,GEORGIA,15.56%,23.29%,9.91%,8%
Jones County Georgia,GEORGIA,14.78%,21.84%,9.35%,17.5%
Pierce County Georgia,GEORGIA,18.8%,27.23%,12.24%,21.5%
Boise County Idaho,IDAHO,18.68%,24.57%,12.25%,28%
Madison County Idaho,IDAHO,20.11%,27.29%,13.24%,38.2%
Jefferson County Georgia,GEORGIA,16.23%,24.62%,10.43%,23.5%
Greene County Georgia,GEORGIA,15.03%,21.5%,9.53%,38.4%
Taylor County Georgia,GEORGIA,15.56%,23.29%,9.91%,22.9%
Camas County Idaho,IDAHO,20.13%,27.76%,13.38%,37.8%
Pulaski County Georgia,GEORGIA,14.34%,21.43%,8.94%,6.3%
Treutlen County Georgia,GEORGIA,17.28%,25.41%,11.17%,5.9%
McDuffie County Georgia,GEORGIA,16.23%,24.62%,10.43%,11.3%
Shoshone County Idaho,IDAHO,18.5%,24.91%,12.03%,39.5%
Lee County Georgia,GEORGIA,15.52%,23.82%,9.82%,9.1%
Oglethorpe County Georgia,GEORGIA,15.03%,21.5%,9.53%,23.3%
Irwin County Georgia,GEORGIA,17.47%,25.52%,11.21%,6.8%
Ada County Idaho,IDAHO,17.71%,23.42%,11.4%,54.7%
Glascock County Georgia,GEORGIA,16.23%,24.62%,10.43%,7.9%
Elmore County Idaho,IDAHO,20.13%,27.76%,13.38%,34%
Lemhi County Idaho,IDAHO,18.68%,24.57%,12.25%,41.7%
Tift County Georgia,GEORGIA,17.47%,25.52%,11.21%,15.3%
Webster County Georgia,GEORGIA,15.56%,23.29%,9.91%,11.2%
Idaho County Idaho,IDAHO,18.68%,24.57%,12.25%,25.9%
Murray County Georgia,GEORGIA,16.88%,23.87%,10.8%,8%
Hart County Georgia,GEORGIA,16.56%,23.58%,10.61%,24%
Spalding County Georgia,GEORGIA,16.83%,24.48%,10.72%,8.4%
Randolph County Georgia,GEORGIA,15.56%,23.29%,9.91%,6.1%
Ware County Georgia,GEORGIA,18.8%,27.23%,12.24%,18.9%
Benewah County Idaho,IDAHO,18.5%,24.91%,12.03%,41.5%
Cassia County Idaho,IDAHO,20.16%,26.77%,13.17%,30.8%
Troup County Georgia,GEORGIA,16.96%,24.96%,10.76%,15.1%
Wilkinson County Georgia,GEORGIA,14.78%,21.84%,9.35%,14.1%
Houghton County Michigan,MICHIGAN,9.5%,16.9%,5.84%,48.4%
Cottonwood County Minnesota,MINNESOTA,7.88%,12.11%,4.28%,53.4%
York County Maine,MAINE,8.27%,11.11%,6.76%,69.3%
Macomb County Michigan,MICHIGAN,9.14%,16.12%,5.59%,50.9%
Schoolcraft County Michigan,MICHIGAN,10.87%,19.03%,6.65%,47%
Caroline County Maryland,MARYLAND,7.53%,10.7%,3.99%,51.6%
Wayne County Michigan,MICHIGAN,9.88%,18.56%,6.02%,47%
Frederick County Maryland,MARYLAND,6.73%,9.37%,3.51%,66.1%
Douglas County Minnesota,MINNESOTA,7.19%,10.93%,3.85%,52.7%
Jackson County Minnesota,MINNESOTA,7.88%,12.11%,4.28%,46%
Delaware County Indiana,INDIANA,12.87%,18.24%,7.92%,40.3%
Saline County Illinois,ILLINOIS,10.39%,17.25%,6.52%,38.8%
LaGrange County Indiana,INDIANA,14.83%,19.66%,9.76%,24.6%
Madison County Illinois,ILLINOIS,8.64%,14.41%,5.23%,46.9%
Hamilton County Indiana,INDIANA,8.47%,11.12%,5.2%,64.8%
Stark County Illinois,ILLINOIS,8.94%,15.09%,5.47%,46.7%
Hancock County Indiana,INDIANA,13.2%,17.61%,8.35%,59.9%
Crawford County Indiana,INDIANA,12.5%,17.05%,7.79%,33.1%
Washington County Idaho,IDAHO,16.83%,22.09%,10.94%,35.2%
Perry County Illinois,ILLINOIS,9.85%,16.8%,6.03%,33.1%
Brown County Illinois,ILLINOIS,9.91%,16.37%,6.11%,27.9%
Macoupin County Illinois,ILLINOIS,10.42%,17.39%,6.46%,43.7%
Daviess County Indiana,INDIANA,13.51%,18.25%,8.53%,31.2%
Sangamon County Illinois,ILLINOIS,8.63%,14.77%,5.22%,55%
Winnebago County Illinois,ILLINOIS,9.23%,15.85%,5.61%,46.2%
Ford County Illinois,ILLINOIS,10.6%,18.13%,6.53%,45.2%
Henry County Illinois,ILLINOIS,9.65%,16.25%,5.93%,49.9%
Morgan County Illinois,ILLINOIS,10.42%,17.39%,6.46%,42.4%
De Witt County Illinois,ILLINOIS,9.86%,16.41%,6.12%,41.5%
Howard County Indiana,INDIANA,13.65%,18.57%,8.57%,40.4%
Grundy County Illinois,ILLINOIS,7.76%,12.49%,4.72%,43.1%
Union County Illinois,ILLINOIS,10.39%,17.25%,6.52%,44.5%
Massac County Illinois,ILLINOIS,10.39%,17.25%,6.52%,30.4%
Wayne County Illinois,ILLINOIS,10.55%,17.45%,6.57%,35.7%
Carroll County Illinois,ILLINOIS,9.09%,15.29%,5.48%,54.1%
Lee County Illinois,ILLINOIS,9.09%,15.29%,5.48%,43.3%
Jay County Indiana,INDIANA,14.43%,19.8%,9.16%,34.8%
Boone County Indiana,INDIANA,9.83%,13.18%,6.1%,62.6%
Fayette County Indiana,INDIANA,13.8%,18.9%,8.66%,33.5%
Pope County Illinois,ILLINOIS,10.39%,17.25%,6.52%,24.2%
Washington County Illinois,ILLINOIS,10.02%,16.76%,6.18%,47%
Clark County Illinois,ILLINOIS,10.55%,17.45%,6.57%,36.8%
Gibson County Indiana,INDIANA,11.44%,15.28%,7.13%,40.8%
Jasper County Illinois,ILLINOIS,10.55%,17.45%,6.57%,31.1%
Harrison County Indiana,INDIANA,12.68%,17.07%,7.88%,44.9%
Peoria County Illinois,ILLINOIS,8.7%,15.01%,5.24%,51.5%
Fulton County Indiana,INDIANA,13.16%,17.75%,8.25%,35.6%
Allen County Indiana,INDIANA,11.61%,16.13%,7.1%,45.7%
Adams County Illinois,ILLINOIS,9.91%,16.37%,6.11%,47.2%
Greene County Illinois,ILLINOIS,10.42%,17.39%,6.46%,36.2%
Hamilton County Illinois,ILLINOIS,10.39%,17.25%,6.52%,31.5%
Lake County Indiana,INDIANA,11.42%,16.18%,7.01%,47%
Johnson County Illinois,ILLINOIS,10.39%,17.25%,6.52%,28.7%
Mason County Illinois,ILLINOIS,9.91%,16.37%,6.11%,43%
Cook County Illinois,ILLINOIS,7.32%,12.89%,4.4%,53.6%
Douglas County Illinois,ILLINOIS,9.58%,16.19%,5.91%,38.7%
Jo Daviess County Illinois,ILLINOIS,9.09%,15.29%,5.48%,71.6%
Macon County Illinois,ILLINOIS,9.52%,16.52%,5.85%,41.2%
Dearborn County Indiana,INDIANA,12.87%,17.1%,8.06%,44.3%
Fayette County Illinois,ILLINOIS,10.17%,16.92%,6.33%,25.7%
Moultrie County Illinois,ILLINOIS,9.86%,16.41%,6.12%,37.5%
Christian County Illinois,ILLINOIS,9.86%,16.41%,6.12%,37.6%
Livingston County Illinois,ILLINOIS,10.6%,18.13%,6.53%,36.6%
Johnson County Indiana,INDIANA,11.59%,15.48%,7.22%,48.7%
Knox County Illinois,ILLINOIS,8.94%,15.09%,5.47%,45.8%
Schuyler County Illinois,ILLINOIS,9.91%,16.37%,6.11%,50.4%
Clark County Indiana,INDIANA,12.98%,18.07%,8.03%,52.6%
Richland County Illinois,ILLINOIS,10.55%,17.45%,6.57%,39.9%
Pike County Illinois,ILLINOIS,9.91%,16.37%,6.11%,34.4%
Bureau County Illinois,ILLINOIS,8.94%,15.09%,5.47%,44%
Iroquois County Illinois,ILLINOIS,10.6%,18.13%,6.53%,40.5%
White County Illinois,ILLINOIS,10.39%,17.25%,6.52%,40.4%
Woodford County Illinois,ILLINOIS,8.94%,15.09%,5.47%,47.6%
Jasper County Indiana,INDIANA,13.16%,17.75%,8.25%,39%
Tazewell County Illinois,ILLINOIS,8.94%,14.77%,5.43%,50.1%
Menard County Illinois,ILLINOIS,9.86%,16.41%,6.12%,48.5%
Blackford County Indiana,INDIANA,14.43%,19.8%,9.16%,40.8%
Grant County Indiana,INDIANA,13.73%,18.95%,8.71%,37%
Hendricks County Indiana,INDIANA,10.55%,13.93%,6.49%,61.6%
Alexander County Illinois,ILLINOIS,10.39%,17.25%,6.52%,24.1%
Randolph County Illinois,ILLINOIS,10.02%,16.76%,6.18%,36.7%
Hancock County Illinois,ILLINOIS,9.65%,16.25%,5.93%,40.9%
Cass County Indiana,INDIANA,13.65%,18.57%,8.57%,36.7%
Elkhart County Indiana,INDIANA,13.68%,18.44%,8.73%,37.3%
Knox County Indiana,INDIANA,12.5%,17.05%,7.79%,45.1%
Kendall County Illinois,ILLINOIS,7.76%,12.49%,4.72%,52%
Marshall County Illinois,ILLINOIS,8.94%,15.09%,5.47%,46.5%
Crawford County Illinois,ILLINOIS,10.55%,17.45%,6.57%,40.9%
Warren County Illinois,ILLINOIS,9.65%,16.25%,5.93%,42%
Lake County Illinois,ILLINOIS,7.12%,12.05%,4.33%,54.9%
Mercer County Illinois,ILLINOIS,9.65%,16.25%,5.93%,50.5%
Coles County Illinois,ILLINOIS,9.58%,16.19%,5.91%,35.2%
Franklin County Indiana,INDIANA,12.87%,17.1%,8.06%,27%
Gallatin County Illinois,ILLINOIS,10.39%,17.25%,6.52%,43.8%
Champaign County Illinois,ILLINOIS,7.67%,13.81%,4.67%,51.3%
Ogle County Illinois,ILLINOIS,8.79%,14.77%,5.34%,45.9%
Jennings County Indiana,INDIANA,14.17%,19.22%,8.9%,34.1%
Jersey County Illinois,ILLINOIS,10.42%,17.39%,6.46%,46.8%
Whiteside County Illinois,ILLINOIS,9.09%,15.29%,5.48%,47.2%
Scott County Illinois,ILLINOIS,10.42%,17.39%,6.46%,35%
Adams County Indiana,INDIANA,13.83%,18.58%,8.82%,35.3%
Jackson County Illinois,ILLINOIS,9.85%,16.8%,6.03%,39.7%
Effingham County Illinois,ILLINOIS,10.17%,16.92%,6.33%,37.7%
Logan County Illinois,ILLINOIS,9.86%,16.41%,6.12%,40.4%
Clay County Indiana,INDIANA,14.07%,19.21%,8.9%,47.7%
Jackson County Indiana,INDIANA,11.49%,15.49%,7.06%,43.4%
DuPage County Illinois,ILLINOIS,6.3%,10.41%,3.81%,60.2%
Calhoun County Illinois,ILLINOIS,10.42%,17.39%,6.46%,50.2%
Piatt County Illinois,ILLINOIS,9.86%,16.41%,6.12%,47.4%
Decatur County Indiana,INDIANA,14.17%,19.22%,8.9%,43.9%
McLean County Illinois,ILLINOIS,7.82%,13.62%,4.78%,49.1%
Rock Island County Illinois,ILLINOIS,9.36%,15.9%,5.72%,47.3%
Hardin County Illinois,ILLINOIS,10.39%,17.25%,6.52%,33%
Kosciusko County Indiana,INDIANA,13.13%,17.73%,8.32%,36.3%
Fulton County Illinois,ILLINOIS,9.65%,16.25%,5.93%,44.1%
LaSalle County Illinois,ILLINOIS,9.58%,16.03%,5.89%,42.7%
Cumberland County Illinois,ILLINOIS,9.58%,16.19%,5.91%,30.9%
Benton County Indiana,INDIANA,13.9%,19.08%,8.73%,36.6%
Bond County Illinois,ILLINOIS,10.17%,16.92%,6.33%,42%
Fountain County Indiana,INDIANA,14.07%,19.21%,8.9%,40.9%
Henry County Indiana,INDIANA,14.43%,19.8%,9.16%,44.6%
Putnam County Illinois,ILLINOIS,8.94%,15.09%,5.47%,47.1%
Wabash County Illinois,ILLINOIS,10.39%,17.25%,6.52%,40.3%
Greene County Indiana,INDIANA,13.51%,18.25%,8.53%,35.4%
Kankakee County Illinois,ILLINOIS,9.55%,16.36%,5.84%,39.1%
Clinton County Illinois,ILLINOIS,10.17%,16.92%,6.33%,44.8%
Monroe County Illinois,ILLINOIS,10.02%,16.76%,6.18%,51.6%
Marion County Illinois,ILLINOIS,10.02%,16.76%,6.18%,36.2%
Stephenson County Illinois,ILLINOIS,8.79%,14.77%,5.34%,52.2%
Carroll County Indiana,INDIANA,13.9%,19.08%,8.73%,30%
Dubois County Indiana,INDIANA,12.5%,17.05%,7.79%,52.3%
St. Clair County Illinois,ILLINOIS,9.49%,16.72%,5.71%,47.6%
Will County Illinois,ILLINOIS,7.84%,13.11%,4.77%,50.1%
Woodford County Kentucky,KENTUCKY,17.76%,22.56%,11.41%,65.8%
Hancock County Maine,MAINE,9.48%,12.85%,7.8%,67.6%
Livingston Parish Louisiana,LOUISIANA,19.78%,26.7%,12.12%,29.8%
Henderson County Kentucky,KENTUCKY,19.24%,24.29%,12.67%,40.6%
East Feliciana Parish Louisiana,LOUISIANA,18.98%,26.47%,11.74%,29.8%
St. Helena Parish Louisiana,LOUISIANA,19.78%,26.7%,12.12%,21.8%
Jefferson County Kentucky,KENTUCKY,15.89%,20.74%,10.11%,56.5%
St. Mary Parish Louisiana,LOUISIANA,18.98%,27.07%,11.48%,34.5%
Knox County Kentucky,KENTUCKY,22.1%,28.64%,14.9%,30.3%
Simpson County Kentucky,KENTUCKY,20.53%,26.37%,13.75%,42.6%
Oxford County Maine,MAINE,10.5%,14.47%,8.63%,56%
Oldham County Kentucky,KENTUCKY,17.03%,20.99%,11.15%,54.6%
McLean County Kentucky,KENTUCKY,19.24%,24.29%,12.67%,44.1%
Morgan County Kentucky,KENTUCKY,21.05%,27.07%,13.91%,41.4%
Madison County Kentucky,KENTUCKY,18.21%,23.74%,11.93%,42.6%
Rowan County Kentucky,KENTUCKY,21.05%,27.07%,13.91%,42.7%
Red River Parish Louisiana,LOUISIANA,18.74%,27.16%,11.57%,27.6%
Union Parish Louisiana,LOUISIANA,20.15%,28.62%,12.68%,36.1%
Clinton County Iowa,IOWA,13.24%,18.99%,7.96%,50.7%
Washington County Iowa,IOWA,13.68%,19.83%,8.18%,56.2%
Kossuth County Iowa,IOWA,11.72%,16.96%,6.95%,52.2%
LaPorte County Indiana,INDIANA,13.84%,18.99%,8.77%,48.2%
Hardin County Iowa,IOWA,12.85%,18.52%,7.69%,52.5%
Montgomery County Iowa,IOWA,13.23%,19.05%,7.95%,54.4%
Martin County Indiana,INDIANA,13.51%,18.25%,8.53%,42.6%
Palo Alto County Iowa,IOWA,11.76%,16.82%,7.06%,51%
Newton County Indiana,INDIANA,13.16%,17.75%,8.25%,26.2%
Buchanan County Iowa,IOWA,12.19%,17.84%,7.24%,53.3%
Winneshiek County Iowa,IOWA,12.54%,18.27%,7.45%,58.6%
Washington County Indiana,INDIANA,12.68%,17.07%,7.88%,35.7%
Rush County Indiana,INDIANA,13.8%,18.9%,8.66%,43.6%
Vermillion County Indiana,INDIANA,14.07%,19.21%,8.9%,39.2%
St. Joseph County Indiana,INDIANA,12.39%,17.43%,7.68%,52.3%
Benton County Iowa,IOWA,12.93%,18.77%,7.81%,55.6%
Owen County Indiana,INDIANA,13.51%,18.25%,8.53%,37%
Marshall County Iowa,IOWA,12.93%,18.77%,7.81%,59.1%
Poweshiek County Iowa,IOWA,12.93%,18.77%,7.81%,54.8%
Pulaski County Indiana,INDIANA,13.16%,17.75%,8.25%,39.9%
Whitley County Indiana,INDIANA,13.83%,18.58%,8.82%,43.8%
Ida County Iowa,IOWA,11.75%,17.12%,7.04%,49.3%
Buena Vista County Iowa,IOWA,11.75%,17.12%,7.04%,59.2%
Emmet County Iowa,IOWA,11.76%,16.82%,7.06%,48.7%
Starke County Indiana,INDIANA,13.16%,17.75%,8.25%,31.9%
Lyon County Iowa,IOWA,11.76%,16.82%,7.06%,43.9%
Plymouth County Iowa,IOWA,13.2%,19.26%,7.92%,52.1%
Grundy County Iowa,IOWA,12.85%,18.52%,7.69%,60.8%
Anderson County Kansas,KANSAS,15.6%,20.68%,9.63%,39.6%
Cass County Iowa,IOWA,13.23%,19.05%,7.95%,58.2%
Tama County Iowa,IOWA,12.93%,18.77%,7.81%,59.6%
Harrison County Iowa,IOWA,13.23%,19.05%,7.95%,50.5%
Taylor County Iowa,IOWA,13.62%,19.66%,8.41%,47.5%
Muscatine County Iowa,IOWA,13.24%,18.99%,7.96%,57.3%
Lawrence County Indiana,INDIANA,13.51%,18.25%,8.53%,41.9%
Delaware County Iowa,IOWA,12.19%,17.84%,7.24%,53.6%
Miami County Indiana,INDIANA,13.73%,18.95%,8.71%,33.1%
Carroll County Iowa,IOWA,11.75%,17.12%,7.04%,63.6%
O'Brien County Iowa,IOWA,11.76%,16.82%,7.06%,51.3%
Guthrie County Iowa,IOWA,13.62%,19.66%,8.41%,55.6%
Lee County Iowa,IOWA,13.34%,19.44%,8.08%,46.7%
Spencer County Indiana,INDIANA,12.5%,17.05%,7.79%,39.8%
Vigo County Indiana,INDIANA,13.63%,19.15%,8.5%,42.8%
Crawford County Iowa,IOWA,11.75%,17.12%,7.04%,52.3%
Putnam County Indiana,INDIANA,13.43%,17.95%,8.45%,35.9%
Warren County Iowa,IOWA,12.39%,17.6%,7.43%,56%
Tippecanoe County Indiana,INDIANA,10.84%,15.8%,6.76%,47.8%
Humboldt County Iowa,IOWA,12.85%,18.52%,7.69%,49.3%
Chickasaw County Iowa,IOWA,12.54%,18.27%,7.45%,53.8%
Jefferson County Iowa,IOWA,13.68%,19.83%,8.18%,41.9%
Morgan County Indiana,INDIANA,13.43%,17.95%,8.45%,45.5%
Black Hawk County Iowa,IOWA,12.1%,17.78%,7.21%,54.9%
Winnebago County Iowa,IOWA,11.72%,16.96%,6.95%,51.5%
Marion County Iowa,IOWA,12.39%,17.6%,7.43%,51.1%
Pottawattamie County Iowa,IOWA,13.23%,19.05%,7.95%,50.8%
Dubuque County Iowa,IOWA,12.19%,17.84%,7.24%,63.8%
Jasper County Iowa,IOWA,12.39%,17.6%,7.43%,54.3%
Orange County Indiana,INDIANA,13.51%,18.25%,8.53%,49.5%
Shelby County Iowa,IOWA,13.23%,19.05%,7.95%,59.4%
Warrick County Indiana,INDIANA,11.44%,15.28%,7.13%,56.9%
Union County Iowa,IOWA,13.62%,19.66%,8.41%,49.2%
Decatur County Iowa,IOWA,13.62%,19.66%,8.41%,39.2%
Scott County Iowa,IOWA,12.07%,17.57%,7.16%,54.9%
Lucas County Iowa,IOWA,13.62%,19.66%,8.41%,44.5%
Madison County Indiana,INDIANA,13.76%,18.84%,8.6%,44.2%
Switzerland County Indiana,INDIANA,12.87%,17.1%,8.06%,27.8%
Tipton County Indiana,INDIANA,13.65%,18.57%,8.57%,39.2%
Atchison County Kansas,KANSAS,16.37%,21.84%,10.1%,37.1%
White County Indiana,INDIANA,13.9%,19.08%,8.73%,48.2%
Cherokee County Iowa,IOWA,11.75%,17.12%,7.04%,53.1%
Pike County Indiana,INDIANA,12.5%,17.05%,7.79%,50.4%
Barber County Kansas,KANSAS,15.67%,21.22%,9.71%,45.3%
Randolph County Indiana,INDIANA,14.43%,19.8%,9.16%,39.4%
Wells County Indiana,INDIANA,13.83%,18.58%,8.82%,39.8%
Calhoun County Iowa,IOWA,11.75%,17.12%,7.04%,58.5%
Osceola County Iowa,IOWA,11.76%,16.82%,7.06%,47%
Shelby County Indiana,INDIANA,13.2%,17.61%,8.35%,49.1%
Dallas County Iowa,IOWA,10.35%,14.58%,6.11%,62%
Ohio County Indiana,INDIANA,12.87%,17.1%,8.06%,64%
Boone County Iowa,IOWA,11.66%,17.31%,6.91%,59.2%
Worth County Iowa,IOWA,11.72%,16.96%,6.95%,49%
Allamakee County Iowa,IOWA,12.54%,18.27%,7.45%,52.7%
Hamilton County Iowa,IOWA,12.85%,18.52%,7.69%,60.6%
Monona County Iowa,IOWA,11.75%,17.12%,7.04%,53.8%
Franklin County Iowa,IOWA,12.85%,18.52%,7.69%,51.6%
Dickinson County Iowa,IOWA,11.76%,16.82%,7.06%,56.4%
Monroe County Indiana,INDIANA,10.96%,15.83%,6.71%,48.5%
Wabash County Indiana,INDIANA,13.73%,18.95%,8.71%,37.4%
Johnson County Iowa,IOWA,10.11%,15.42%,5.98%,67.8%
Linn County Iowa,IOWA,12.06%,17.7%,7.1%,62%
Webster County Iowa,IOWA,12.85%,18.52%,7.69%,53.4%
Howard County Iowa,IOWA,12.54%,18.27%,7.45%,51.4%
Clarke County Iowa,IOWA,13.62%,19.66%,8.41%,51.7%
Mahaska County Iowa,IOWA,13.68%,19.83%,8.18%,42%
Sioux County Iowa,IOWA,11.76%,16.82%,7.06%,43.1%
Van Buren County Iowa,IOWA,13.68%,19.83%,8.18%,40.7%
Marion County Indiana,INDIANA,12.15%,17.47%,7.48%,44.8%
Floyd County Iowa,IOWA,11.72%,16.96%,6.95%,51.3%
Union County Indiana,INDIANA,13.8%,18.9%,8.66%,40%
Mitchell County Iowa,IOWA,11.72%,16.96%,6.95%,48.8%
Polk County Iowa,IOWA,11.46%,16.66%,6.73%,60.2%
Wright County Iowa,IOWA,12.85%,18.52%,7.69%,56.4%
Adams County Iowa,IOWA,13.62%,19.66%,8.41%,51.6%
Cerro Gordo County Iowa,IOWA,11.72%,16.96%,6.95%,58%
Porter County Indiana,INDIANA,11.33%,15.29%,6.98%,48.7%
Barton County Kansas,KANSAS,15.67%,21.22%,9.71%,38.3%
Jackson County Iowa,IOWA,12.19%,17.84%,7.24%,52.3%
Appanoose County Iowa,IOWA,13.62%,19.66%,8.41%,45.2%
Clay County Iowa,IOWA,11.76%,16.82%,7.06%,51.1%
Perry County Indiana,INDIANA,12.5%,17.05%,7.79%,48.6%
Sac County Iowa,IOWA,11.75%,17.12%,7.04%,52.7%
Sullivan County Indiana,INDIANA,14.07%,19.21%,8.9%,38.4%
Noble County Indiana,INDIANA,14.83%,19.66%,9.76%,35%
Davis County Iowa,IOWA,13.68%,19.83%,8.18%,38.1%
Woodbury County Iowa,IOWA,13.2%,19.26%,7.92%,51.7%
Wayne County Indiana,INDIANA,13.8%,18.9%,8.66%,42.2%
Jones County Iowa,IOWA,13.24%,18.99%,7.96%,57.1%
Hancock County Iowa,IOWA,11.72%,16.96%,6.95%,48.7%
Louisa County Iowa,IOWA,13.34%,19.44%,8.08%,48.4%
Warren County Indiana,INDIANA,14.07%,19.21%,8.9%,40.1%
Scott County Indiana,INDIANA,14.17%,19.22%,8.9%,37.8%
Bremer County Iowa,IOWA,12.54%,18.27%,7.45%,57.5%
Monroe County Iowa,IOWA,13.62%,19.66%,8.41%,45.5%
Wayne County Iowa,IOWA,13.62%,19.66%,8.41%,41%
Ripley County Indiana,INDIANA,12.87%,17.1%,8.06%,40.4%
Montgomery County Indiana,INDIANA,13.9%,19.08%,8.73%,38.4%
Des Moines County Iowa,IOWA,13.34%,19.44%,8.08%,46.4%
Page County Iowa,IOWA,13.23%,19.05%,7.95%,49.7%
Butler County Iowa,IOWA,12.85%,18.52%,7.69%,57.8%
Fremont County Iowa,IOWA,13.23%,19.05%,7.95%,49.1%
Vanderburgh County Indiana,INDIANA,12.78%,17.82%,7.99%,49.9%
Allen County Kansas,KANSAS,15.6%,20.68%,9.63%,38.9%
Steuben County Indiana,INDIANA,14.83%,19.66%,9.76%,43.4%
Audubon County Iowa,IOWA,13.62%,19.66%,8.41%,58.6%
Posey County Indiana,INDIANA,11.44%,15.28%,7.13%,42.3%
Madison County Iowa,IOWA,12.39%,17.6%,7.43%,52%
Marshall County Indiana,INDIANA,13.13%,17.73%,8.32%,40%
Ringgold County Iowa,IOWA,13.62%,19.66%,8.41%,51.7%
Wapello County Iowa,IOWA,13.68%,19.83%,8.18%,45.1%
Fayette County Iowa,IOWA,12.54%,18.27%,7.45%,52.3%
Iowa County Iowa,IOWA,12.93%,18.77%,7.81%,61.1%
Story County Iowa,IOWA,11.66%,17.31%,6.91%,55.1%
Adair County Iowa,IOWA,13.62%,19.66%,8.41%,47.3%
Parke County Indiana,INDIANA,14.07%,19.21%,8.9%,32.9%
Clayton County Iowa,IOWA,12.54%,18.27%,7.45%,49.4%
Cedar County Iowa,IOWA,13.24%,18.99%,7.96%,57.6%
Henry County Iowa,IOWA,13.34%,19.44%,8.08%,50%
Mills County Iowa,IOWA,13.23%,19.05%,7.95%,49.2%
Pocahontas County Iowa,IOWA,11.75%,17.12%,7.04%,51.3%
Greene County Iowa,IOWA,11.75%,17.12%,7.04%,55%
Keokuk County Iowa,IOWA,13.68%,19.83%,8.18%,46.1%
Pottawatomie County Kansas,KANSAS,15.65%,22.56%,9.47%,37%
Gallatin County Kentucky,KENTUCKY,16.9%,21.27%,11.03%,34.2%
Allen County Kentucky,KENTUCKY,20.53%,26.37%,13.75%,36.6%
Bourbon County Kansas,KANSAS,15.6%,20.68%,9.63%,32.9%
Stanton County Kansas,KANSAS,15.14%,20.83%,9.32%,44.4%
Butler County Kentucky,KENTUCKY,20.53%,26.37%,13.75%,39.3%
Cherokee County Kansas,KANSAS,16.75%,22.83%,10.35%,36%
Carroll County Kentucky,KENTUCKY,16.9%,21.27%,11.03%,43.6%
Mitchell County Kansas,KANSAS,14.7%,19.8%,9.03%,52%
Grayson County Kentucky,KENTUCKY,19.51%,25.2%,12.73%,40.9%
Kingman County Kansas,KANSAS,15.67%,21.22%,9.71%,43%
Franklin County Kansas,KANSAS,15.6%,20.68%,9.63%,43.3%
Jackson County Kansas,KANSAS,14.59%,19.4%,8.92%,55.3%
Geary County Kansas,KANSAS,15.65%,22.56%,9.47%,48%
Marion County Kansas,KANSAS,14.48%,19.76%,8.85%,43.4%
Decatur County Kansas,KANSAS,15.04%,20.37%,9.19%,37.4%
Boyle County Kentucky,KENTUCKY,18.89%,23.92%,12.51%,51.6%
Clay County Kentucky,KENTUCKY,22.1%,27.96%,15.03%,33.6%
Ellis County Kansas,KANSAS,15.04%,20.37%,9.19%,43.8%
Leavenworth County Kansas,KANSAS,16.37%,21.84%,10.1%,51.1%
Wabaunsee County Kansas,KANSAS,14.59%,19.4%,8.92%,42.1%
Montgomery County Kansas,KANSAS,16.75%,22.83%,10.35%,37.8%
Russell County Kansas,KANSAS,15.04%,20.37%,9.19%,38.6%
Gray County Kansas,KANSAS,15.14%,20.83%,9.32%,37%
Bell County Kentucky,KENTUCKY,22.1%,28.64%,14.9%,38.8%
Carter County Kentucky,KENTUCKY,19.75%,24.92%,13.02%,35.3%
Sheridan County Kansas,KANSAS,15.04%,20.37%,9.19%,35.5%
Harlan County Kentucky,KENTUCKY,22.1%,28.64%,14.9%,37.8%
Neosho County Kansas,KANSAS,16.75%,22.83%,10.35%,21%
Estill County Kentucky,KENTUCKY,18.21%,23.74%,11.93%,40.8%
Stevens County Kansas,KANSAS,15.14%,20.83%,9.32%,28.5%
Fayette County Kentucky,KENTUCKY,15.3%,20.17%,9.64%,61.2%
Caldwell County Kentucky,KENTUCKY,19.72%,25.32%,13.14%,44.2%
Brown County Kansas,KANSAS,14.59%,19.4%,8.92%,54.2%
Rice County Kansas,KANSAS,15.42%,20.65%,9.56%,39.2%
Cheyenne County Kansas,KANSAS,15.04%,20.37%,9.19%,40.7%
Nemaha County Kansas,KANSAS,14.7%,19.8%,9.03%,52.2%
Calloway County Kentucky,KENTUCKY,17.92%,22.9%,11.71%,37.7%
Sherman County Kansas,KANSAS,15.04%,20.37%,9.19%,39.4%
